invariant,enforcement,source,test,tag
past_only,current_index-age lookup and strict append order,memory_bank.py,test_no_future_access.py,[TESTED]
direct_current_to_anchor,two pairwise flow calls per available age,pipeline.py:58-61,test_direct_anchor_alignment.py,[TESTED]
no_flow_composition,no composition helper or chained flow in core,pipeline.py;constants.py,test_no_flow_composition.py,[TESTED]
raw_only_memory,append_raw requires independent_frozen_stereo and clones inputs,memory_bank.py,test_raw_only_bank_update.py,[TESTED]
no_fused_writeback,no add_fused/update_with_output/write_prediction API,memory_bank.py,test_no_fused_writeback.py,[TESTED]
no_recurrent_state,step depends on raw bank only and model has no recurrent state,pipeline.py;raw_multi_anchor_refiner.py,test_no_fused_writeback.py,[TESTED]
ages_exact,ANCHOR_AGES=(1,2,4,8) and checkpoint validation,constants.py;pipeline.py,test_no_future_access.py,[TESTED]
invalid_score_minus_inf,score.masked_fill(~available,-inf),raw_multi_anchor_refiner.py:160-166,test_invalid_anchor_masking.py,[TESTED]
exact_raw_fallback,torch.where(accepted,prediction,raw),raw_multi_anchor_refiner.py:186-194,test_exact_raw_fallback.py,[TESTED]
positive_left,valid disparity finite and >0,memory_bank.py;pipeline.py,test_disparity_convention.py,[TESTED]
no_backbone_id,public evidence contract has no ID,raw_multi_anchor_refiner.py:18-24,test_no_internal_backbone_features.py,[TESTED]
no_internal_features,external evidence only,raw_multi_anchor_refiner.py:18-24,test_no_internal_backbone_features.py,[TESTED]
no_critic,no critic imports in frozen source,test_no_critic_imports.py,[TESTED]
frozen_weights,eval and requires_grad_(False),pipeline.py:22-27,test_frozen_weights.py,[TESTED]
deterministic,inference_mode and frozen model, pipeline.py;sea_raft_adapter.py,test_deterministic_inference.py,[TESTED]
validated_parity,feature/retrieval/alignment contracts compared to original,test_original_runner_parity.py,[TESTED]
