dataset,split,backbone,sequence,frame,protocol,record_level,section,metric_path,method,horizon,metric_scope,applicability,diagnostic_tags,statistic,value,source_id,source_run,source_manifest_sha256,source_report_sha256,specimen,session,window_index,step_since_reset,reset
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},equal_frame_mean,0.969637393951416,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},frame_count,3,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},equal_frame_mean,0.6663975119590759,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,motion_compensated_inconsistency,raw,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},frame_count,3,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},equal_frame_mean,0.2874799569447835,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,motion_compensated_inconsistency,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},frame_count,3,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},equal_frame_mean,0.32099782427151996,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__end,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,update_magnitude,refined,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},frame_count,3,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__start,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},equal_frame_mean,0.97209366162618,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
D4D,,RAFT-Stereo,specimen_2__2025_04_10-16_07_15__Clip_1__start,,"four-frame curated causal windows, past-to-present",sequence,d4d_no_reference_summary,support_coverage,support,,no_reference_prediction_space,NO_REFERENCE_DIAGNOSTIC,{},frame_count,3,definitive/D4D/ablation_h4@3f0b67d46c34,/dtu/p1/leopam/ARGOS/ARGOS_hand/results/definitive_temporal_evaluation_csv/model_design_comparison_ablation_h4__factory_a2/runs/d4d/model_design_comparison_ablation_h4__factory_a2,3f0b67d46c340b3fc012a5e4f02fbaf5774b537a13271db6925e69dceffe261b,62d9c00108d0b4f6c7a73bd3bd0ed47c357c4b5e510ff125904991f4613f1f69,specimen_2,2025_04_10-16_07_15,,,
